"ID","Kanton","Arbeitslosenquote","Variationskoeffizient","Registrierte Arbeitslose","Registrierte Stellensuchende","Nicht arbeitslose Stellensuchende"
"ZH","Zürich","3.3","A","27225","34156","6931"
"BE","Bern","2.4","A","13658","18385","4727"
"LU","Luzern","1.7","A","3885","6756","2871"
"UR","Uri","0.6","C","112","257","145"
"SZ","Schwyz","1.7","A","1455","2229","774"
"OW","Obwalden","0.7","B","153","319","166"
"NW","Nidwalden","1","B","248","436","188"
"GL","Glarus","1.8","B","416","713","297"
"ZG","Zug","2.3","B","1543","2615","1072"
"FR","Freiburg","2.7","A","4466","7837","3371"
"SO","Solothurn","2.6","A","3801","6628","2827"
"BS","Basel-Stadt","3.5","A","3455","5168","1713"
"BL","Basel-Landschaft","2.8","A","4082","5540","1458"
"SH","Schaffhausen","3","B","1286","2328","1042"
"AR","Appenzell Ausserrhoden","1.7","B","523","866","343"
"AI","Appenzell Innerrhoden","0.7","C","62","102","40"
"SG","St. Gallen","2.2","A","6127","10363","4236"
"GR","Graubünden","1.1","A","1166","2590","1424"
"AG","Aargau","2.9","A","10684","15145","4461"
"TG","Thurgau","2","A","3058","5618","2560"
"TI","Tessin","3.1","A","5202","8675","3473"
"VD","Waadt","4.3","A","17155","24649","7494"
"VS","Wallis","2.8","A","4816","8027","3211"
"NE","Neuenburg","5.1","A","4738","6350","1612"
"GE","Genf","5.2","A","12234","15497","3263"
"JU","Jura","4.4","B","1619","2375","756"
