ID,Canton,15-24 years,25-49 years,50 and more,Total
ZH,Zürich,3.7,3.4,2.9,3.3
BE,Bern,2.8,2.5,2.2,2.4
LU,Luzern,2.1,1.7,1.6,1.7
UR,Uri,0.5,0.5,0.7,0.6
SZ,Schwyz,1.6,1.6,1.9,1.7
OW,Obwalden,0.7,0.7,0.8,0.7
NW,Nidwalden,0.9,0.9,1.2,1
GL,Glarus,1.8,1.7,2.1,1.8
ZG,Zug,1.8,2.4,2.3,2.3
FR,Freiburg,3.2,2.7,2.5,2.7
SO,Solothurn,2.9,2.5,2.6,2.6
BS,Basel-Stadt,4.4,3.7,2.8,3.5
BL,Basel-Landschaft,3.2,2.8,2.5,2.8
SH,Schaffhausen,3.8,3.1,2.3,3
AR,Appenzell Ausserrhoden,1.5,1.7,1.8,1.7
AI,Appenzell Innerrhoden,1,0.5,0.9,0.7
SG,St. Gallen,2.4,2.2,2.1,2.2
GR,Graubünden,1.4,1,1,1.1
AG,Aargau,3.3,3,2.7,2.9
TG,Thurgau,2.3,2,2,2
TI,Tessin,5.2,2.9,3,3.1
VD,Waadt,4.3,4.6,3.6,4.3
VS,Wallis,3.3,2.8,2.5,2.8
NE,Neuenburg,6.1,5.2,4.6,5.1
GE,Genf,4.6,5.8,4.1,5.2
JU,Jura,5.1,4.4,4,4.4
