ID,Canton,Foreigners,Swiss,Total
ZH,Zürich,5.3,2.5,3.3
BE,Bern,5.5,1.8,2.4
LU,Luzern,3.9,1.3,1.7
UR,Uri,2.1,0.4,0.6
SZ,Schwyz,3.4,1.2,1.7
OW,Obwalden,2.2,0.5,0.7
NW,Nidwalden,2.9,0.7,1
GL,Glarus,3.4,1.4,1.8
ZG,Zug,3.9,1.7,2.3
FR,Freiburg,5,2,2.7
SO,Solothurn,5,1.9,2.6
BS,Basel-Stadt,4.6,2.8,3.5
BL,Basel-Landschaft,4.8,2.2,2.8
SH,Schaffhausen,5.1,2.2,3
AR,Appenzell Ausserrhoden,3.4,1.4,1.7
AI,Appenzell Innerrhoden,2,0.5,0.7
SG,St. Gallen,4.3,1.5,2.2
GR,Graubünden,2.3,0.7,1.1
AG,Aargau,5.6,2.1,2.9
TG,Thurgau,3.9,1.4,2
TI,Tessin,4.6,2.5,3.1
VD,Waadt,5.9,3.5,4.3
VS,Wallis,4.9,2.1,2.8
NE,Neuenburg,7.4,4.2,5.1
GE,Genf,5.7,4.8,5.2
JU,Jura,9,3.6,4.4
