"TIME","GEO","UNIT","S_ADJ","INDIC","Value","Flag and Footnotes"
"2017M07","Belgium","Percentage of active population","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Unemployment according to ILO definition - Total","7.5",""
"2017M07","Bulgaria","Percentage of active population","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Unemployment according to ILO definition - Total","5.9",""
"2017M07","Czech Republic","Percentage of active population","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Unemployment according to ILO definition - Total","2.9",""
"2017M07","Denmark","Percentage of active population","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Unemployment according to ILO definition - Total","5.7",""
"2017M07","Germany (until 1990 former territory of the FRG)","Percentage of active population","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Unemployment according to ILO definition - Total","3.6",""
"2017M07","Estonia","Percentage of active population","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Unemployment according to ILO definition - Total","5.8",""
"2017M07","Ireland","Percentage of active population","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Unemployment according to ILO definition - Total","6.6",""
"2017M07","Greece","Percentage of active population","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Unemployment according to ILO definition - Total","20.1",""
"2017M07","Spain","Percentage of active population","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Unemployment according to ILO definition - Total","16.3",""
"2017M07","France","Percentage of active population","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Unemployment according to ILO definition - Total","9.1",""
"2017M07","Croatia","Percentage of active population","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Unemployment according to ILO definition - Total","9.4",""
"2017M07","Italy","Percentage of active population","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Unemployment according to ILO definition - Total","10.7",""
"2017M07","Cyprus","Percentage of active population","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Unemployment according to ILO definition - Total","10.9",""
"2017M07","Latvia","Percentage of active population","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Unemployment according to ILO definition - Total","8.3",""
"2017M07","Lithuania","Percentage of active population","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Unemployment according to ILO definition - Total","7.3",""
"2017M07","Luxembourg","Percentage of active population","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Unemployment according to ILO definition - Total","5.9",""
"2017M07","Hungary","Percentage of active population","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Unemployment according to ILO definition - Total","4.2",""
"2017M07","Malta","Percentage of active population","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Unemployment according to ILO definition - Total","4.1",""
"2017M07","Netherlands","Percentage of active population","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Unemployment according to ILO definition - Total","4.6",""
"2017M07","Austria","Percentage of active population","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Unemployment according to ILO definition - Total","5.4",""
"2017M07","Poland","Percentage of active population","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Unemployment according to ILO definition - Total","4.7",""
"2017M07","Portugal","Percentage of active population","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Unemployment according to ILO definition - Total","8.5",""
"2017M07","Romania","Percentage of active population","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Unemployment according to ILO definition - Total","4.9",""
"2017M07","Slovenia","Percentage of active population","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Unemployment according to ILO definition - Total","6.1",""
"2017M07","Slovakia","Percentage of active population","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Unemployment according to ILO definition - Total","7.5",""
"2017M07","Finland","Percentage of active population","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Unemployment according to ILO definition - Total","7.5",""
"2017M07","Sweden","Percentage of active population","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Unemployment according to ILO definition - Total","6.6",""
"2017M07","United Kingdom","Percentage of active population","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Unemployment according to ILO definition - Total","4.4",""
"2017M07","Iceland","Percentage of active population","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Unemployment according to ILO definition - Total","1.0",""
"2017M07","Norway","Percentage of active population","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Unemployment according to ILO definition - Total","4.3",""
"2017M07","Turkey","Percentage of active population","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Unemployment according to ILO definition - Total","10.7",""
